Date,AAPL,MSFT,AMZN,BRK-B,FB,JPM,JNJ,GOOG,XOM,BAC,UNH,V,WFC,PFE,HD,T,VZ,CSCO,CVX,INTC,PG,MA,BA,MRK,C,KO,CMCSA,NVDA,DIS,DWDP,PEP,NFLX,ABBV,ORCL,WMT,AMGN,MDT,MCD,ADBE,MMM,IBM,PM,HON,UNP,ABT,MO,ACN,GE,TXN,CRM,COST,NKE,LLY,BMY,PYPL,QCOM,UTX,TMO,GILD,AVGO,BKNG,LOW,USB,UPS,CAT,SLB,GS,COP,LMT,NEE,CVS,AXP,SBUX,BIIB,ANTM,TJX,BDX,PNC,AET,EOG,MS,AMT,ADP,AGN,CSX,DHR,CELG,CB,MDLZ,ISRG,FDX,SCHW,CME,OXY,CL,WBA,BLK,DUK,RTN,CHTR,SPG,ATVI,SYK,INTU,GD,BK,NOC,SPGI,MU,ESRX,ILMN,NSC,VLO,BSX,AIG,PSX,DE,COF,EMR,FOXA,TGT,CCI,D,MET,HUM,CI,VRTX,ICE,SO,PX,CTSH,MMC,ZTS,GM,ITW,EXC,PLD,PRU,HPQ,BBT,KMB,AMAT,PGR,ECL,MPC,SHW,MAR,BAX,HCA,DAL,WM,ETN,AON,ROST,F,AFL,APD,SYY,AEP,FIS,STZ,JCI,TRV,EA,ALL,LYB,ADI,STI,EQIX,WMB,KHC,KMI,LUV,APC,FISV,ADSK,HAL,TEL,STT,EBAY,ROP,PSA,EL,SRE,REGN,CNC,EW,MCO,VFC,APH,YUM,ORLY,GIS,DG,GLW,ADM,PPG,PXD,DFS
2015-01-02,102.3183,42.7921,308.5200,149.1700,78.4500,57.2584,94.2874,524.8100,80.9533,16.9308,95.0631,64.5331,49.1381,27.3389,95.4516,27.7925,39.4200,24.5831,96.4588,32.6236,80.0679,83.4131,117.4481,51.1537,52.0409,37.5450,26.8553,19.5065,89.1473,,84.5981,49.8485,57.5628,41.8686,77.7715,145.3729,66.7571,83.6845,72.3400,149.1899,140.9686,69.4195,92.7591,108.8488,41.3317,42.7306,82.8256,22.3403,48.6567,59.2400,126.3277,45.4759,63.5187,54.5035,,65.0614,105.2200,126.3722,87.7449,94.2230,1142.0600,63.4716,41.2939,98.6444,81.2666,77.4098,184.8189,61.7245,174.6384,95.8156,87.9283,87.6542,38.1992,342.0100,118.1739,64.4046,131.9763,83.4739,85.3992,89.7311,35.9538,92.9188,76.8682,252.4153,33.3030,64.0765,113.5200,103.7615,34.5622,175.1898,167.2164,29.2251,75.1677,68.5328,63.4719,70.6926,325.7301,71.4409,100.3563,166.4300,160.2860,19.5470,89.7086,87.5912,128.9499,37.8807,137.9541,84.7274,34.7500,84.6500,185.4200,99.8445,44.5357,13.2200,52.4017,64.6755,81.1891,76.6109,54.5569,36.2049,66.4259,69.2320,66.7586,37.9449,139.7420,102.7156,123.0700,41.2961,41.2954,118.7415,51.9251,52.8387,42.1448,29.7462,87.8876,32.7215,38.6271,79.9816,17.4624,34.6595,102.5601,23.5947,24.6151,100.0686,41.3002,252.6039,73.9634,38.2361,73.2696,46.0871,47.0971,59.7342,90.0481,43.4234,12.4024,27.9327,133.2506,36.3151,53.4060,59.3732,93.9514,40.0615,96.8059,46.8700,65.4565,69.5645,50.7308,38.2630,200.6550,36.2811,,37.3264,41.3479,79.4628,35.3100,59.5300,37.0888,58.5709,73.2190,23.9833,152.9293,164.4419,72.0368,100.8492,410.1600,52.2200,63.8600,91.3673,67.4418,51.9209,47.9199,192.1100,46.8581,67.7405,21.0478,46.6881,108.3730,149.5115,60.6054
2015-01-05,99.4358,42.3940,302.1900,147.0000,77.1900,55.4808,93.6289,513.8700,78.7383,16.4389,93.4972,63.1086,47.7906,27.1905,93.4490,27.5299,39.0926,24.0934,92.6032,32.2558,79.6872,81.0669,116.6347,51.9139,50.4009,37.5450,26.3097,19.1771,87.8445,,83.9621,47.3114,56.4795,41.2830,77.5452,143.6454,66.4784,82.7603,71.9800,145.8252,138.7505,68.8968,90.9914,105.1688,41.3409,42.4863,81.4272,21.9303,47.8970,58.1700,124.8914,44.7438,62.8931,53.6518,,64.7548,103.4639,124.6362,89.4783,92.7167,1097.5800,61.9528,40.2991,96.6694,76.9768,75.3135,179.0483,58.7869,171.0067,94.8008,87.0592,85.3361,37.4675,336.7400,116.1017,63.6844,132.7878,80.9188,84.2452,84.3223,34.8300,91.5763,76.8129,250.0385,32.4019,63.4411,111.9300,102.0660,34.0455,171.4565,164.6468,28.2483,75.5941,65.9921,63.0030,69.2973,317.3022,70.4124,99.0766,160.5000,160.9433,19.2751,88.3246,87.2454,126.2582,36.9070,135.0436,83.2271,33.7750,84.2200,190.7200,97.3198,42.7044,13.8100,51.3651,60.7658,79.4521,74.8463,53.4355,35.4683,65.2355,68.7879,65.9488,36.6779,136.0381,100.9476,121.0300,41.5219,41.1198,115.6073,51.5998,52.4677,41.8918,29.3107,85.7155,31.7896,38.6004,77.4430,17.1717,33.5655,101.9743,22.8385,24.3420,97.8334,40.1509,251.8531,71.9371,37.2868,71.1300,45.3186,46.6238,57.2632,89.1794,43.3910,11.9180,27.2010,128.9900,35.9597,52.6200,58.3457,96.1870,39.4552,95.6399,46.5700,64.1590,66.0632,49.8037,36.8968,198.5922,34.8449,,36.3150,40.3309,73.1958,34.9100,58.6600,36.3563,57.4305,72.0041,23.7806,148.4474,165.2148,71.1696,99.0048,412.4700,52.0800,63.8900,89.5759,66.8749,50.9724,46.9463,188.7200,46.0111,67.3003,20.7551,45.0726,105.5763,139.4769,59.2516
2015-01-06,99.4452,41.7763,295.2900,146.8400,76.1500,54.0423,93.1688,501.9600,78.3197,15.9471,93.3086,62.7020,46.7935,27.4174,93.1629,27.5709,39.4871,24.0845,92.5603,31.6546,79.3243,80.8916,115.2609,53.9533,48.6265,37.8301,25.9665,18.5956,87.3786,,83.3261,46.5014,56.1999,40.8569,78.1427,139.0176,66.1441,82.9128,70.5300,144.2702,135.7582,69.4880,90.7786,102.9939,40.8714,42.7393,80.8398,21.4578,47.1100,57.2000,126.5418,44.4806,63.2105,53.5602,,63.8351,102.0005,123.4723,90.2780,90.6080,1079.9600,62.0934,39.7648,96.0349,76.4815,73.8406,175.4263,56.3599,170.2026,95.1690,87.1239,83.5175,37.1626,334.6500,117.6841,63.3716,132.5330,78.8232,84.3702,81.9195,33.8269,91.3339,76.1714,248.5579,31.1107,63.0076,110.5100,101.1683,33.8107,173.2632,164.6371,27.2135,74.4385,65.4312,62.3411,69.4741,312.3714,71.5683,98.7234,156.3100,165.4231,18.9159,88.2005,84.5661,126.4072,35.8397,135.7877,82.0230,32.8700,83.2800,188.3100,94.2189,42.1824,13.7000,50.6366,59.0659,78.7904,73.4532,53.3472,35.0283,65.2266,68.6573,65.6128,35.5659,135.9306,101.3472,117.3600,40.9280,41.6133,114.1270,50.2590,51.7628,41.4831,29.7547,84.5366,31.5457,38.7338,75.8365,17.0415,32.9108,100.9891,21.9783,24.0416,94.9074,39.7543,251.0927,71.0334,37.0886,71.0112,44.2503,46.6602,56.6213,88.6448,43.4721,11.8049,26.9586,128.9442,35.7683,52.9082,58.2696,96.8037,39.0235,94.7860,45.9600,64.1123,64.6645,48.6391,35.8332,194.2631,34.3716,,35.6000,39.1880,72.6550,34.9450,57.5000,35.9994,56.7351,69.9482,23.4755,146.3774,168.0341,70.5120,98.0780,396.8900,52.2500,63.5100,88.6326,66.4818,50.3238,46.3701,188.0800,45.8964,66.4485,20.3984,44.1841,105.3164,139.1079,57.8607
2015-01-07,100.8396,42.3071,298.4200,148.8800,76.1500,54.1247,95.2256,501.1000,79.1133,16.0228,94.2613,63.5420,47.0720,27.7927,96.3560,27.6037,39.2353,24.3071,92.4832,32.3186,79.7404,82.1475,117.0504,55.1071,49.0773,38.3023,25.9430,18.5423,88.2724,,85.7626,46.7428,58.4713,40.8663,80.2160,143.8727,67.7972,84.3575,71.1100,145.3160,134.8709,70.0107,91.4357,103.5629,41.2028,43.5246,82.5366,21.4667,47.9561,56.9300,128.7452,45.3994,62.7662,54.2562,,64.5796,103.1072,127.1711,91.9699,93.0556,1069.5700,63.9404,40.1149,96.9286,77.6667,73.8316,178.0406,56.7360,172.3979,96.0401,88.6957,85.3361,38.0772,353.2400,118.2681,64.6699,135.6376,79.7331,86.0628,81.4039,34.3099,92.2941,76.8406,258.3572,31.5194,63.3888,114.5500,102.6100,34.8723,174.2132,165.8491,27.7454,75.3041,65.4397,62.8375,71.2507,318.9823,71.7978,99.9593,156.7900,168.4672,18.5032,89.8708,85.3920,125.9229,36.5793,140.0829,83.1124,32.1000,84.5600,194.9200,94.2189,41.8551,14.0300,50.8795,59.3254,78.4503,74.2891,53.2325,33.7801,67.6957,70.0940,65.8798,36.0374,138.5107,103.7245,120.6600,41.5067,42.0733,115.4063,51.9054,52.4492,42.3395,30.6000,85.4556,31.5892,39.3208,75.8809,17.2411,33.3502,101.6903,22.1815,24.5422,96.2984,40.0833,255.3760,72.6601,37.2660,72.2988,44.0160,46.6966,56.7884,89.6567,44.3222,12.1440,27.1278,130.3369,36.8163,53.6593,59.2305,99.2995,39.6481,96.4019,46.8100,65.1672,65.3421,49.1506,36.2091,194.9005,34.1870,,36.0709,39.5173,73.8138,35.4200,57.3800,36.9667,58.4411,70.6023,23.4350,147.8713,171.4770,70.8360,99.6615,407.7200,52.5350,65.0000,89.9857,67.3321,51.1853,47.9067,189.7900,46.8669,67.2524,20.6911,44.8482,105.7841,137.5817,58.7230
2015-01-08,104.7141,43.5517,300.4600,151.3700,78.1750,55.3342,95.9743,502.6800,80.4301,16.3538,98.7607,64.3943,48.1140,28.3598,98.4878,27.8783,40.0763,24.4940,94.5995,32.9197,80.6522,83.4253,119.1201,56.2163,49.8158,38.7656,26.5072,19.2449,89.1853,,87.3213,47.7792,59.0829,41.1126,81.9091,143.3545,69.4225,84.6716,72.9150,148.7988,137.8023,71.0646,93.1015,107.4447,42.0497,44.2576,83.7952,21.7252,48.7386,58.5900,129.8514,46.4474,64.2531,55.6117,,65.2584,104.8633,128.4929,94.5770,97.7061,1082.8500,65.2905,40.4096,98.6712,78.4627,74.7261,180.8831,58.1511,176.2826,96.6239,90.5819,86.5458,38.6917,350.2500,123.9102,65.0111,138.1099,81.2680,88.8517,84.5169,34.8207,93.1518,78.6033,261.9905,32.0211,64.3680,115.0500,104.2692,35.3138,177.6665,169.7278,28.4707,75.6538,66.0176,63.6925,72.1343,322.7077,72.0868,101.8457,162.9400,168.2251,18.6925,91.3979,86.5380,128.9592,37.0849,143.3325,83.8578,33.6700,86.4100,196.8200,95.1245,44.2526,14.5900,50.6553,61.6336,79.4888,75.0135,54.6275,34.1292,68.0131,71.1999,66.6552,36.5864,144.4721,109.0086,123.9700,42.0285,42.1068,117.3069,53.1180,53.3303,42.9914,30.9073,87.5163,31.8331,39.3297,77.0969,17.6534,33.9062,103.8383,22.8905,25.0338,98.4473,41.0253,262.3639,75.0669,38.2309,74.2205,45.1593,47.2336,58.8197,90.9741,44.9106,12.4509,27.3931,133.3514,37.4816,54.1222,60.0677,103.7224,40.4106,98.4034,48.1250,66.4180,67.9572,50.0184,36.8326,197.2288,34.5160,,36.9166,40.5634,76.1989,36.1400,58.8000,37.7651,59.6187,72.0976,24.0686,148.8689,173.8133,71.8557,100.5523,403.2500,53.3450,66.5750,90.8623,68.8499,52.1823,48.7412,193.2400,47.6256,66.5250,21.3588,44.1930,108.5998,141.0529,59.6688
2015-01-09,104.8264,43.1856,296.9300,149.4700,77.7400,54.3721,94.6663,496.1700,80.3167,16.0606,97.8363,63.4398,47.3235,28.4907,96.7990,27.7951,39.7195,24.7433,92.7146,32.9825,79.8997,82.3621,118.8851,55.9569,48.7032,38.3380,26.4649,19.3224,89.6227,,86.7301,47.0414,57.4667,41.0936,80.8951,141.5906,69.0975,83.6396,71.8400,146.9710,138.4025,70.8761,91.5560,105.5176,41.6078,44.1529,83.7020,21.4221,48.7659,58.1600,127.8531,45.9353,63.4009,55.2454,,65.1840,104.2871,127.9799,94.4938,98.7463,1051.9600,64.0623,39.5714,97.9474,77.5252,73.3888,178.1072,58.1421,176.1832,95.7707,90.5357,85.4495,37.4253,342.3400,122.2619,64.2056,136.4774,79.7515,87.5534,85.0811,34.2541,92.6764,78.0403,261.7178,31.9560,63.9345,113.6700,102.7913,34.9662,173.6232,167.4200,27.5133,75.7220,65.8901,63.0673,70.3856,318.8818,72.1888,101.0094,161.9800,169.9980,18.3527,90.2908,84.7179,129.4342,36.5419,143.8694,83.1411,33.5250,84.9000,194.8000,94.3744,43.0406,14.6500,49.7961,60.2200,78.7168,73.7132,53.7710,33.8422,67.3959,71.0692,65.9057,35.9107,143.4166,107.8799,122.2100,42.0531,41.5715,115.7261,53.3497,52.5976,43.0595,30.3865,86.8572,31.7809,39.2674,75.7300,17.6490,33.0274,102.9063,22.9141,24.5058,97.2098,39.8805,264.1349,74.8957,37.7510,73.9431,43.9317,46.8968,58.0898,90.4777,44.1045,12.2813,26.8123,131.3539,37.5909,53.8340,59.8679,103.4333,40.1626,97.1640,47.5100,65.7366,68.6175,49.9818,35.5948,192.0144,34.0827,,36.4545,39.5077,76.4210,36.0350,58.2700,37.3800,59.2663,71.0509,23.7358,148.0474,174.3403,71.3792,99.6436,411.0400,52.9350,66.5800,89.3949,68.7950,51.8822,48.6551,187.8100,47.1456,65.1947,21.3223,43.8161,107.2250,142.1601,58.7138
2015-01-12,102.2434,42.6457,291.4100,148.2800,76.7200,53.9048,94.3415,492.5500,78.7732,15.7768,96.7326,63.3156,46.7576,28.5955,96.3653,27.8700,39.9913,24.9748,90.7182,32.8390,79.6076,81.3087,118.2796,55.7243,48.3196,37.9905,26.4085,19.0801,89.8224,,86.3717,45.5471,57.4492,40.9800,81.5017,142.0361,69.1625,83.4602,71.1200,146.1708,136.0800,71.1588,91.1117,104.5907,41.9576,44.4321,83.4503,21.3776,48.3292,57.7300,127.1395,45.8731,62.9385,56.9489,,64.4395,104.6804,126.7470,93.5692,97.1130,1039.9800,63.6123,39.2030,97.9831,76.8530,70.5245,175.9397,56.4853,175.6863,95.5282,89.8700,84.5801,37.6316,347.8400,121.3482,63.8739,135.4677,79.1908,86.0917,82.2114,33.7804,92.2755,77.6573,265.2245,31.5008,63.1421,117.0000,101.5492,34.6374,175.1698,167.3327,27.2426,74.7157,63.6892,62.7548,70.4135,316.7817,72.2568,99.1044,163.8500,170.1623,18.3138,89.7372,83.5141,128.4376,36.0176,143.1441,81.9561,31.6600,83.0800,190.1000,93.2767,41.9081,14.5800,48.8996,57.4734,78.5330,73.4253,53.1265,33.8422,67.5722,70.9822,65.9057,35.4955,142.2048,106.0619,118.3100,40.9526,41.5798,115.4703,53.3842,52.0318,42.2519,30.6000,86.4581,31.9028,39.6677,74.7447,17.3236,32.7225,102.7465,22.3658,24.1599,96.6630,38.4970,260.9393,74.1108,37.9284,71.5163,43.1633,46.8422,57.5798,89.1985,44.3963,12.2894,26.6568,130.4469,37.2446,53.7641,59.6776,103.0768,39.7492,96.5855,47.0600,65.0645,66.1588,49.4794,35.2188,192.0055,33.1199,,36.2801,38.9846,72.4715,35.9850,57.2900,36.1966,58.3762,70.4341,23.5523,145.8957,174.0329,70.7693,99.1037,413.3300,52.3950,67.6450,88.6231,68.8591,51.2531,48.2908,185.5800,46.8077,64.2281,21.2948,43.2686,106.8849,134.5893,58.4356
2015-01-13,103.1512,42.4215,294.7400,148.6300,76.4500,53.9140,94.5039,496.1800,78.4854,15.5593,97.2231,63.5006,46.5779,28.3075,95.7285,27.8700,40.0763,25.0149,89.2788,32.7492,79.9440,81.4940,118.5507,55.6259,47.9743,37.9816,26.7235,19.0462,90.5166,,86.3090,46.2557,55.8068,40.6580,80.8589,141.0542,67.6022,83.2987,70.5900,146.0617,136.4019,71.2017,91.7596,102.6268,41.2856,44.7812,83.7486,21.2706,48.0289,57.9700,125.8638,45.4664,62.9022,57.8098,,63.9139,104.5798,126.5892,89.8712,96.5670,1037.8200,63.6216,38.7792,98.4031,76.3931,70.2805,175.8066,55.9210,175.5779,95.9054,89.9069,84.3250,37.9318,352.7400,122.7140,63.6464,133.7314,78.1247,87.1111,82.7464,33.4647,91.2500,77.5050,262.9062,31.1664,62.7758,119.9800,101.7033,34.4072,173.8865,166.2952,27.2619,74.3063,63.7062,63.1869,70.0043,317.7404,72.6478,98.6398,164.4000,170.2747,18.0225,89.9281,83.1193,128.3351,35.9520,143.1724,86.8585,30.8350,83.5800,185.0900,92.8376,40.6519,14.5000,48.4420,55.0220,78.9374,72.8031,53.0470,33.6031,66.9726,70.8167,65.8540,35.0591,143.5046,106.7112,120.6000,39.7515,41.5547,114.6753,53.3842,52.1338,41.6583,30.0962,86.3560,31.7983,38.8761,74.0080,17.2758,32.6687,103.0306,22.0539,24.1235,97.7758,36.4419,259.0528,73.6495,37.5372,71.4569,43.6787,46.8786,57.5622,89.5708,43.9470,12.2813,26.5242,129.7597,37.1353,54.0348,59.8108,102.4312,39.8319,96.7324,46.4200,65.4565,65.4203,48.9131,34.9163,192.3331,32.8472,,35.6524,39.2074,73.1958,36.1100,57.3400,35.9618,58.0610,70.2659,23.5225,145.5631,174.7091,71.0171,99.6975,406.4900,53.3600,66.8100,90.0333,68.6488,51.1369,48.0921,182.7500,46.8611,64.8885,21.1759,43.3314,107.2345,137.5418,57.8978
2015-01-14,102.7581,42.0554,293.2700,147.8200,76.2800,52.0539,93.8183,500.8700,78.2587,15.1715,97.4684,62.2296,46.0389,28.3424,94.7226,27.7369,39.8979,24.8591,89.0217,32.6146,79.6695,81.4062,117.8367,56.0284,47.0440,37.9192,26.2439,19.1286,89.6037,,86.5957,46.3200,56.0797,40.7811,78.4144,141.0724,66.6549,82.1411,69.9900,145.3524,135.5233,71.4758,91.3339,102.1955,40.9802,45.1389,82.7697,21.1993,47.9561,57.2500,124.2759,44.8443,63.2467,57.6541,,63.2570,103.8298,124.4784,91.7665,97.3295,1035.6700,63.1810,38.0792,97.7418,76.1277,70.8317,171.3384,56.0822,174.5661,96.4981,89.9902,82.2837,37.7208,348.7500,124.1551,62.7651,132.8727,76.7197,86.6867,85.5164,32.7030,90.6720,77.2789,259.5164,31.2593,62.0582,121.1000,99.5998,34.3321,178.4532,167.5073,26.3335,72.4983,64.1396,62.9294,69.7531,315.7042,72.8348,98.5469,158.1300,171.7795,18.3818,89.0023,83.0422,128.5028,35.0439,143.2760,84.9568,30.0500,84.2600,182.4100,92.4534,39.6876,14.5000,47.9843,53.1611,79.4797,71.2800,52.6409,33.3448,65.5441,71.0954,65.8626,34.4467,144.1985,107.3205,120.3800,39.4669,41.9813,113.8438,53.6405,51.9112,41.8724,29.2851,86.1796,32.1554,38.8850,72.0553,17.1239,31.9782,103.1637,21.7608,23.6956,97.2098,34.9862,259.1298,72.8408,37.4120,69.7928,42.4604,47.1517,56.4894,89.4372,42.9138,12.2006,26.3184,128.2112,36.6978,54.8121,59.1924,104.4836,39.3725,95.2726,46.9000,64.8124,64.6037,48.8766,34.2652,193.7761,33.3205,,35.9401,38.2001,74.6925,35.8950,56.4100,36.0088,58.3206,68.5464,23.0531,144.7905,174.6213,70.6359,100.2824,404.3100,53.3250,65.8350,89.3187,67.7070,50.7691,48.1650,182.4550,47.0478,64.7449,21.2674,42.5865,107.2250,141.8709,56.6738
2015-01-15,99.9693,41.6207,286.9500,147.5800,74.0500,50.3863,92.4561,501.7900,77.5785,14.3770,98.5343,61.6379,45.5628,28.2726,93.2183,27.6786,40.0083,24.4050,87.9679,32.4711,79.5544,80.2260,117.6198,55.3486,45.2984,37.7588,26.3285,18.9929,89.7178,,86.5957,46.2514,55.3666,40.3738,79.1115,138.1266,66.7756,81.9975,70.2900,145.1887,134.4534,70.9618,89.8716,101.6816,40.6748,45.7846,82.2010,21.0210,47.6605,55.1100,124.2759,44.4136,63.2286,56.4452,,62.5213,103.8298,122.4366,90.0469,95.3809,998.2500,62.2060,37.7107,97.6703,75.1990,69.2414,169.6843,54.9986,173.7892,96.1299,89.8422,81.1591,37.3268,339.8800,126.3027,61.8648,132.7406,76.1836,87.2750,84.3371,32.1179,89.7584,77.2466,256.9155,31.6866,61.3182,118.2700,99.5726,34.3274,174.7932,168.5739,25.7919,72.3790,64.5730,62.8099,69.5578,312.6910,73.7443,98.3796,160.4900,173.0248,18.0128,87.3320,81.9347,128.8396,34.8753,143.4644,84.3738,29.3000,84.3000,180.9100,93.1577,38.9886,14.3100,47.0691,52.8659,80.1414,71.4657,52.4290,33.0866,66.7257,71.0780,66.4829,33.7710,144.5601,106.7412,117.7800,39.0267,42.4916,113.7341,53.0786,51.6701,41.7848,28.5423,85.5577,32.4602,38.9295,70.8127,16.5728,31.8347,103.1637,22.0492,23.9141,96.5862,34.6346,260.4484,72.3937,37.2816,69.4065,42.2168,47.1608,56.3399,89.3035,42.2235,11.9987,26.2315,127.7806,36.6887,55.1615,59.2685,104.2427,39.1796,95.6766,46.6400,64.6257,65.3943,48.1641,33.6601,193.1830,33.4008,,35.5477,37.6771,72.8868,35.8600,55.7100,35.0602,57.8106,68.0137,22.6201,142.6779,175.1659,70.2452,100.8942,397.1200,53.4450,64.2950,88.2991,65.7686,50.2657,47.5922,179.9600,47.5190,63.0414,21.0570,42.3711,106.8613,140.9532,55.7280
2015-01-16,99.1925,42.3162,290.7400,149.2100,75.1800,51.2476,93.8544,508.0800,79.4621,14.5472,99.7700,62.0810,46.3893,28.6216,96.0884,28.1280,40.7643,24.6454,90.0670,32.7044,80.7850,81.7379,118.1982,56.3773,45.6629,37.8925,26.6905,19.3418,90.5071,,87.1511,48.1914,56.8192,41.2073,78.5592,144.0455,67.5743,82.0962,71.7300,147.3166,136.6889,70.8589,90.8989,102.6910,41.1746,46.2907,82.8722,21.0299,48.4793,56.6400,124.6416,44.4997,64.0808,57.0680,,62.4424,106.2353,123.5808,93.1070,97.7343,1008.2200,63.9592,38.2450,98.5729,74.7888,73.4882,168.4865,56.4942,175.9031,97.1896,91.2938,81.3103,37.8099,352.7500,128.1112,63.2579,132.4670,78.0507,89.2616,88.0213,32.4058,90.8212,78.0495,261.6983,32.3833,61.6994,121.8100,101.3225,34.7032,176.8765,171.3956,26.0144,72.5239,66.3320,63.5914,70.7205,317.8226,74.2458,98.2495,161.1100,173.6562,19.6636,88.2387,83.2252,130.1120,35.0720,144.4251,86.7438,28.9900,85.3800,183.8200,94.7494,40.1653,14.4600,47.7322,54.4226,80.2333,71.1871,53.2854,33.4213,66.0820,71.9487,66.9912,34.4819,146.5342,107.7700,122.8600,39.7326,42.9516,112.8752,54.2567,52.6161,43.0304,28.7558,86.5973,32.5560,39.2674,71.8956,16.6379,32.3010,104.4241,22.1862,24.0051,98.0540,34.9546,263.5574,72.1940,37.5580,69.1787,42.9571,47.5430,56.7972,91.2223,43.0389,12.1279,26.6065,128.0096,36.4700,55.5196,60.2104,107.5383,39.0418,97.8158,48.0850,66.1287,69.3647,49.0410,35.0171,194.9802,33.6976,,36.2104,38.2388,75.7547,36.5200,56.8500,36.7507,58.4597,68.8361,22.8953,142.5507,177.6338,70.7312,101.6229,408.6900,54.1450,64.5800,89.6903,66.3538,50.7400,48.2449,182.9100,47.4834,64.7258,21.1942,42.7929,108.8360,149.5913,55.7929
2015-01-20,101.7474,42.4535,289.4400,148.6300,76.2400,51.0460,91.3736,506.9000,79.4360,14.4337,99.6285,62.5412,46.7127,28.8834,95.2855,28.2528,40.9257,24.9926,91.2237,32.3814,80.7319,82.1865,118.5959,56.0016,45.3272,38.4538,26.2392,19.3999,90.0887,,87.3481,49.8285,55.8596,41.5766,78.4868,143.2908,67.0543,81.4771,71.4900,147.2620,136.5237,71.6129,91.6022,104.5723,40.9247,46.9714,82.6205,21.2617,48.9524,57.2900,124.3383,44.7964,65.3048,57.1962,,63.4848,107.4975,123.5315,95.9452,98.7228,1024.9500,62.5763,37.9594,99.4756,74.8869,72.7202,166.9654,56.5927,176.8427,97.8273,91.2753,82.4632,38.0983,363.2800,129.1662,62.7556,132.3726,78.2171,88.7023,87.0662,32.2758,90.5508,78.4187,262.0392,32.0861,62.0209,123.2500,100.1619,34.7783,173.9632,173.6936,25.8693,72.9589,66.2895,63.3983,70.7391,316.4712,74.5348,98.6212,156.1300,172.6443,19.6344,87.4942,84.1882,129.1951,34.8660,144.8019,86.9254,29.6700,83.4800,196.7300,94.6305,41.1473,14.3300,47.3026,56.9187,80.0770,71.8744,53.4002,32.6322,64.9621,71.4088,67.5167,34.3060,145.5862,108.3394,124.7400,39.4612,43.2109,114.1362,54.8137,52.6996,42.4689,28.9692,86.7087,32.4428,38.9917,71.4606,16.7594,32.0679,104.3176,22.3375,23.9596,98.3898,36.2436,262.2965,72.6030,37.4537,67.2174,46.0777,48.1528,56.9818,90.3727,42.5316,12.1198,26.5288,129.5398,36.0508,55.4846,60.2104,106.9601,38.7019,97.1731,47.8100,65.6806,67.7139,49.6804,34.7604,196.8924,33.7698,,36.4632,39.5077,75.0981,36.5750,57.1000,37.4082,57.5696,68.4062,22.9038,142.8344,177.9237,71.0266,102.2707,421.1100,53.7200,64.2300,89.7379,65.7137,50.6723,47.3923,186.4200,48.3635,64.4482,21.1759,42.3621,107.7872,147.0079,56.4420
2015-01-21,102.5242,42.0234,297.2500,147.1800,76.7400,51.2109,91.9239,518.0400,80.1162,14.5756,103.1186,62.6484,46.8025,28.4820,95.5439,28.2944,40.9851,24.7879,92.6717,32.7313,80.8944,81.6598,119.6714,55.5991,45.7876,38.6320,26.2204,19.6713,89.5466,,87.2496,58.4685,55.1993,41.1883,78.4415,143.0908,67.8530,81.0643,71.5400,147.8076,132.2962,72.4441,91.8521,104.9853,40.7766,47.3553,82.3595,21.4310,49.3845,57.7100,124.1242,44.7486,65.4952,56.7382,,62.7052,108.8694,123.6498,95.7603,99.2029,1045.5300,63.3289,38.8714,99.8062,76.1354,74.2834,168.4104,57.8018,176.6168,98.6894,92.3238,82.8507,38.1288,361.8250,131.5681,62.5566,134.7977,78.3650,91.3639,88.2455,32.2572,90.1965,78.0403,268.6241,32.2347,62.2376,122.2200,100.2254,34.9004,172.7065,173.2670,25.8210,72.9589,67.3347,63.1685,70.3112,319.1284,75.3763,98.6491,155.7500,173.1546,19.5179,87.9142,83.2059,129.9436,35.1562,145.2823,86.6769,30.4900,83.5400,191.7700,95.4538,41.7489,14.3900,47.4707,59.2717,80.5366,71.7072,53.8417,32.4361,65.2090,70.8429,68.2921,34.6790,149.7983,110.0075,125.0850,39.1937,43.5037,114.8306,54.4933,52.4863,43.1416,28.9351,87.0058,33.0873,39.1607,71.5405,16.7377,31.9603,104.3708,22.9897,23.8413,99.7712,36.4824,262.9799,72.5459,37.2190,68.6141,46.0871,47.9890,57.8787,90.2581,42.7007,12.0875,26.5699,131.1157,36.7161,56.0174,59.6776,106.5072,38.8673,96.4111,48.0700,65.6246,70.7026,49.8539,35.2647,197.7954,34.3154,,36.6202,40.5150,77.9660,36.2075,57.5500,38.2159,58.1722,69.8454,22.7758,144.3112,176.5448,70.5025,103.0175,418.1100,54.6850,64.4400,88.3468,65.5400,52.2017,47.6255,184.9700,48.0791,64.3238,21.3040,42.8109,107.7258,152.5538,56.4142
